,CUSTOMER_ID,BB_ACCOUNT_ID,SERVICE,STATUS,TRANSACTION_DATE,TRANSACTION_AMOUNT,CHARGE_AMOUNT
0,1306301.4286,40464245.7143,Subscription,Active,2023-10-27,1.67,2.17
1,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-14,600.74,0.74
2,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-14,17003.89,-0.2
3,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-20,18516.37,-0.15
4,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-14,2475.92,0.92
5,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-14,14081.16,1.16
6,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-27,15797.38,-2.62
7,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-06,7288.67,-1.33
8,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-27,3996.98,0.46
9,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-27,11250.1,0.1
10,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-27,9271.05,1.05
11,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-27,1697.27,1.62
12,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-14,12518.5,-1.5
13,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-07,15252.82,-0.28
14,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-14,7426.19,1.19
15,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-14,6250.86,0.86
16,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-14,5422.08,-0.42
17,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-13,16407.9,-0.25
18,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-20,8003.33,0.94
19,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-07,5951.23,-0.77
20,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-07,2750.21,0.21
21,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-07,6188.91,1.41
22,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-07,8098.51,-1.49
23,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-07,4592.27,-1.48
24,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-07,4400.99,0.99
25,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-07,4371.62,-0.88
26,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-07,3556.15,-0.37
27,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-06,11181.51,-1.53
28,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-27,4234.65,-0.35
29,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-22,8100.64,0.64
30,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-27,4400.69,0.69
31,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-27,7943.53,0.76
32,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-20,11701.77,-1.43
33,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-06,16912.07,-0.43
34,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-20,7451.81,-0.69
35,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-20,5499.87,-0.13
36,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-20,4621.14,1.14
37,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-20,4400.33,0.33
38,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-20,2474.86,-0.14
39,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-06,7657.18,0.18
40,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-06,6250.97,0.97
41,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-06,4620.01,0.01
42,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-06,4400.59,0.59
43,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-27,11450.91,-0.39
44,6214645.7143,38870692.8571,Subscription,Active,2023-10-11,0.04,0.54
45,6214645.7143,38870692.8571,Same Bank Transfer,Successful,2023-10-14,4399.67,-0.33
46,6214645.7143,38870692.8571,Other Bank Transfer,Successful,2023-10-22,11997.81,0.81
47,7384130.0,138958277.1429,Subscription,Active,2023-10-18,0.05,1.05
48,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-05,64998.68,-1.32
49,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-01,34998.92,-1.08
50,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-31,23999.62,-0.38
51,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-17,23100.15,0.15
52,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-03,7001.81,1.81
53,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-04,30000.55,0.55
54,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-16,21999.46,-0.54
55,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-26,19000.93,0.93
56,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-29,30001.2,1.2
57,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-15,40000.02,0.02
58,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-15,10001.02,1.02
59,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-17,8498.82,-1.18
60,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-04,25001.76,1.76
61,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-21,9999.23,-0.77
62,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-11,25000.26,0.26
63,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-13,24998.51,-1.49
64,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-13,20000.46,0.46
65,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-08,20000.68,0.68
66,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-13,9997.61,-2.39
67,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-24,19999.99,-0.01
68,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-07,51759.45,-0.55
69,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-08,30000.47,0.47
70,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-07,14998.47,-1.53
71,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-13,15001.92,1.92
72,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-03,4999.85,-0.15
73,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-22,29999.7,-0.3
74,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-21,29999.09,-0.91
75,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-21,10001.01,1.01
76,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-11,30001.6,1.6
77,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-11,24998.71,-1.29
78,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-02,49999.49,-0.51
79,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-20,35100.93,0.93
80,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-06,25000.5,0.5
81,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-20,19999.2,-0.8
82,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-19,22000.25,0.25
83,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-26,11001.0,1.0
84,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-28,22999.1,-0.9
85,15583887.1429,7874261.4286,Same Bank Transfer,Successful,2023-10-02,20000.54,0.54
86,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-10,20001.08,1.08
87,15583887.1429,7874261.4286,Other Bank Transfer,Successful,2023-10-16,8000.09,0.09
88,23098200.0,101889050.0,Pay Employees,Successful,2023-10-15,9499.36,-0.64
89,23098200.0,101889050.0,Pay Employees,Successful,2023-10-31,7950.59,0.59
90,23098200.0,101889050.0,Pay Employees,Successful,2023-10-15,7949.54,-0.46
91,23098200.0,101889050.0,Pay Employees,Successful,2023-10-31,9502.4,2.4
92,28548472.8571,142565464.2857,Subscription,Active,2023-10-11,-1.0,-0.0
93,28548472.8571,82890775.7143,Subscription,Active,2023-10-11,0.33,1.33
94,28548472.8571,82890775.7143,Subscription,Active,2023-10-11,1.4,2.4
95,32296645.7143,91511135.7143,Pay Payment Link,Successful,2023-10-15,49999.55,-0.45
96,32296645.7143,91511135.7143,Pay Payment Link,Successful,2023-10-13,49998.77,-1.23
97,32296645.7143,91511135.7143,Same Bank Transfer,Successful,2023-10-04,69498.9,-1.1
98,32296645.7143,91511135.7143,Pay Payment Link,Successful,2023-10-11,49999.15,-0.85
99,32296645.7143,91511135.7143,Pay Payment Link,Successful,2023-10-20,17241.45,-0.55
100,32296645.7143,91511135.7143,Pay Payment Link,Successful,2023-10-10,72430.09,0.09
101,32296645.7143,91511135.7143,Pay Payment Link,Successful,2023-10-10,50000.1,0.1
102,32296645.7143,91511135.7143,Same Bank Transfer,Successful,2023-10-10,50000.69,0.69
103,40175442.8571,82888300.0,Pay Bills,Successful,2023-10-29,2471.47,15.47
104,40175442.8571,82888300.0,Same Bank Transfer,Successful,2023-10-27,5866.39,-1.61
105,40175442.8571,82888300.0,Pay Government,Successful,2023-10-07,4201.13,18.13
106,40175442.8571,82888300.0,Pay Government,Successful,2023-10-07,4199.3,16.3
107,40175442.8571,82888300.0,Pay Government,Successful,2023-10-07,2938.37,15.37
108,40175442.8571,82888300.0,Pay Government,Successful,2023-10-07,2940.4,17.4
109,40175442.8571,82888300.0,Pay Government,Successful,2023-10-07,1049.86,16.86
110,40175442.8571,82888300.0,Pay Government,Successful,2023-10-07,1049.38,16.38
111,40175442.8571,82888300.0,Pay Government,Successful,2023-10-07,779.5,16.5
