,CUSTOMER_ID,LOAN_ACCOUNT_ID,LOAN_STATUS,LOAN_BEHAVIOR,LOAN_TYPE,LOAN_AMOUNT,PRINCIPAL_LOAN_AMOUNT,INTEREST_EARNED,LOAN_START_DATE,MATURITY_DATE
0,10015715.7143,127930088.5714,Active,Amortization Past Due,Housing,1000001.67,545604.79,1.76,2010-11-26,2030-06-26
1,12425058.5714,8079647.1429,Active,Items for litigation,Auto,699300.74,1.74,0.85,2013-09-19,2018-09-19
2,14045201.4286,5842790.0,Active,Current,Housing,1463999.8,820466.13,-0.09,2013-10-03,2028-12-03
3,94215644.2857,88974975.7143,Active,Current,Housing,3779999.85,634380.58,-0.06,2014-10-13,2024-12-13
4,86244215.7143,142722690.0,Active,Current,Housing,1080000.92,236938.12,1.01,2014-12-19,2025-04-19
5,18920101.4286,104093862.8571,Active,Amortization Past Due,Housing,1150001.16,778691.58,1.26,2015-09-03,2030-11-03
6,142301100.0,64093862.8571,Active,Current,Housing,2291997.38,704008.72,-2.53,2015-09-04,2026-01-04
7,7066157.1429,48522434.2857,Active,Items for litigation,Auto,557598.67,426450.18,-1.16,2015-09-15,2020-09-15
8,16594914.2857,141379577.1429,Active,Current,Housing,3424000.46,2184214.1,0.54,2015-09-18,2033-01-18
9,94837601.4286,101521877.1429,Active,Amortization Past Due,Housing,1380000.1,1104089.38,0.19,2015-12-28,2036-03-28
10,128306828.5714,44792734.2857,Active,Current,Housing,3312001.05,2603544.81,1.15,2016-03-11,2036-03-11
11,88072357.1429,92151605.7143,Active,Principal Past Due,Auto,1155001.62,289183.23,1.73,2016-04-04,2021-06-04
12,90882030.0,96150462.8571,Active,Current,Housing,604898.5,217266.06,-1.41,2016-05-16,2026-07-16
13,90882030.0,47721891.4286,Active,Current,Housing,4233099.72,1520442.96,-0.19,2016-05-16,2026-07-16
14,140169958.5714,66007034.2857,Active,Items for litigation,Auto,438401.19,2.19,1.36,2016-08-04,2021-08-04
15,67734544.2857,56035605.7143,Active,Current,Housing,2630000.86,1012775.41,0.95,2016-08-24,2026-10-24
16,14203014.2857,47335605.7143,Active,Current,Housing,1173899.58,455815.05,-0.32,2016-08-30,2026-10-30
17,138760258.5714,53441048.5714,Active,Items for litigation,Auto,413999.75,0.75,-0.14,2016-12-16,2022-02-15
18,9634057.1429,71874505.7143,Active,Current,Housing,2485080.94,1899507.91,1.04,2017-07-28,2032-07-28
19,9634057.1429,16160220.0,Active,Current,Housing,7014919.23,4885632.54,-0.67,2017-07-28,2031-12-28
20,88617572.8571,117791362.8571,Active,Amortization Past Due,Housing,1696000.21,903641.63,0.3,2017-11-24,2028-01-24
21,135048815.7143,131725948.5714,Active,Amortization Past Due,Housing,5849001.41,3114708.76,1.5,2017-11-29,2028-01-29
22,118495272.8571,90040234.2857,Active,Current,Housing,1663798.51,1245174.31,-1.4,2017-12-21,2033-02-21
23,43952914.2857,139333805.7143,Active,Current,MTL,14999998.52,274860.76,-1.4,2014-06-30,2024-06-30
24,58276144.2857,17960948.5714,Active,Current,Housing,2900000.99,1541134.27,1.08,2018-02-23,2028-04-23
25,4912558.5714,124881234.2857,Active,Current,Auto,719599.12,58410.94,-0.78,2018-03-21,2024-01-21
26,47519730.0,37336105.7143,Active,Current,MTL,1073999.63,318323.73,-0.28,2015-12-22,2026-01-22
27,47519730.0,51621820.0,Active,Current,MTL,1408498.47,423913.71,-1.44,2016-04-01,2026-01-22
28,47519730.0,65907534.2857,Active,Current,MTL,1079999.65,331653.49,-0.26,2016-06-28,2026-01-22
29,47519730.0,80193248.5714,Active,Current,MTL,1437500.64,446708.74,0.73,2016-09-01,2026-01-22
30,9936414.2857,19297105.7143,Active,Current,Auto,1066400.69,0.69,0.78,2018-08-08,2023-08-08
31,33786642.8571,140770262.8571,Active,Current,Auto,1568800.76,58601.04,0.85,2018-09-14,2023-11-13
32,107355328.5714,30140548.5714,Active,Current,Housing,3368218.57,2023679.03,-1.34,2018-10-08,2028-12-05
33,47519730.0,57170548.5714,Active,Current,Auto,922999.57,59619.48,-0.33,2018-10-31,2023-12-05
34,10400944.2857,95320977.1429,Active,Current,Housing,1849999.31,1150816.91,-0.62,2018-11-09,2029-01-09
35,72794558.5714,14335262.8571,Active,Current,Auto,1107549.87,123032.68,-0.03,2018-11-14,2024-01-13
36,113121715.7143,126192405.7143,Active,Current,Auto,828101.14,95194.06,1.26,2018-11-19,2024-01-19
37,64310587.1429,63349548.5714,Active,Current,Auto,1204000.33,131026.97,0.42,2018-11-27,2024-02-27
38,110141771.4286,67455548.5714,Active,Current,Housing,1440815.86,890101.05,-0.08,2018-12-10,2029-02-10
39,22300901.4286,54734420.0,Active,Current,Housing,2903390.18,1816179.16,0.24,2019-01-11,2029-03-10
40,29232874.2857,90034420.0,Active,Current,Auto,580000.97,125789.41,1.07,2019-01-18,2024-04-18
41,56319572.8571,17620134.2857,Active,Current,Auto,1317600.01,219392.83,0.1,2019-01-30,2024-03-30
42,107622444.2857,48291848.5714,Active,Current,Auto,1472200.59,154434.02,0.69,2019-02-19,2024-02-19
43,20721658.5714,137877562.8571,Active,Amortization Past Due,Auto,835999.61,184461.61,-0.3,2019-02-28,2024-05-28
44,66534757.1429,82520705.7143,Active,Current,Housing,4000000.04,3059092.26,0.1,2019-03-19,2033-05-19
45,99372872.8571,100820705.7143,Active,Current,Housing,1263999.67,855793.36,-0.25,2019-03-29,2029-05-28
46,62151757.1429,81389562.8571,Active,Current,Auto,1149600.81,190184.01,0.81,2019-04-26,2024-05-29
47,19099544.2857,105732864.2857,Active,Current,Auto,1389600.05,412636.71,0.15,2019-06-17,2024-08-17
48,28665228.5714,106747150.0,Active,Current,Housing,4351758.68,2966014.84,-1.23,2019-06-28,2029-08-28
49,73537972.8571,50809007.1429,Active,Current,Housing,2719998.92,2522467.48,-1.01,2019-07-26,2039-09-25
50,102869785.7143,142380435.7143,Active,Current,Housing,1562204.62,1164670.87,-0.3,2019-07-30,2029-12-30
51,38264045.7143,1565007.1429,Active,Current,Housing,1758578.15,1243427.2,0.23,2019-08-16,2029-10-16
52,120894058.5714,138009578.5714,Active,Amortization Past Due,Auto,553501.81,171096.19,1.91,2019-09-04,2024-09-04
53,58657071.4286,122438150.0,Active,Current,Group Plan/Wholesale,450000.55,125675.51,0.61,2019-09-12,2024-12-30
54,32685445.7143,8711292.8571,Active,Current,Housing,3499999.46,3160990.48,-0.46,2019-10-23,2039-10-23
55,107355328.5714,47425578.5714,Active,Current,Housing,1638000.93,467159.14,1.01,2019-10-29,2024-12-28
56,78982588.5714,38854150.0,Active,Current,Auto,735201.2,302898.78,1.3,2019-10-30,2024-12-30
57,4372888.5714,100170164.2857,Active,Current,Auto,1051900.02,450076.89,0.11,2019-11-21,2025-01-21
58,110630115.7143,93170164.2857,Active,Current,Housing,936601.02,683187.94,1.09,2019-11-22,2030-01-22
59,66984301.4286,119884450.0,Active,Current,Housing,1242698.82,853944.42,-1.12,2019-11-28,2029-11-28
60,84167174.2857,64539021.4286,Active,Current,Auto,1860001.76,661892.36,1.85,2019-12-12,2024-12-11
61,115354172.8571,83110450.0,Active,Current,Housing,1999999.23,1753462.34,-0.7,2019-12-13,2035-04-13
62,70551658.5714,83396164.2857,Active,Current,Auto,732800.26,206363.98,0.36,2019-12-27,2024-12-27
63,134343031.4286,77824735.7143,Active,Amortization Past Due,Auto,875998.51,442135.49,-1.38,2019-12-27,2025-02-27
64,82191602.8571,20825021.4286,Active,Current,Housing,1191683.46,714280.61,0.56,2020-01-15,2027-05-15
65,36590771.4286,35110735.7143,Active,Principal Past Due,Auto,1300000.68,475660.25,0.78,2020-01-15,2025-01-31
66,64759828.5714,12396450.0,Active,Current,Auto,672797.61,255191.82,-2.28,2020-01-16,2025-01-16
67,33284058.5714,35410735.7143,Active,Current,Auto,904999.99,287555.17,0.1,2020-01-28,2025-01-27
68,52175842.8571,110282164.2857,Active,Current,Auto,2174999.45,-0.55,-0.45,2020-01-31,2023-01-31
69,46562830.0,43139592.8571,Active,Current,Auto,1348800.47,541270.78,0.57,2020-02-06,2025-02-06
70,142357460.0,100282450.0,Active,Current,Auto,453598.47,173005.52,-1.44,2020-02-06,2025-04-06
71,27940257.1429,117425307.1429,Active,Current,Auto,830401.92,407648.81,2.03,2020-02-10,2025-04-10
72,135144745.7143,103648450.0,Active,Current,Auto,847199.85,400709.74,-0.04,2020-03-09,2025-04-09
73,119635528.5714,66934164.2857,Active,Current,Housing,2899999.7,1237614.52,-0.21,2020-03-11,2028-07-10
74,73911745.7143,102948450.0,Active,Current,Auto,789999.09,299971.73,-0.81,2020-03-12,2025-03-12
75,54148588.5714,59180464.2857,Active,Current,Auto,453601.01,245577.15,1.12,2020-08-11,2025-08-11
76,106421101.4286,125326321.4286,Active,Current,Housing,2880001.6,2190688.31,1.67,2020-09-23,2030-09-22
77,115354172.8571,129754892.8571,Active,Current,Housing,957250.71,830547.29,-1.22,2020-09-29,2035-09-29
78,74157201.4286,99068035.7143,Active,Current,Housing,2974115.49,2284566.02,-0.44,2020-10-28,2030-10-28
79,142190430.0,22409607.1429,Active,Current,Housing,2232904.93,1730793.46,1.0,2020-11-16,2030-11-16
80,117667230.0,136604178.5714,Active,Current,Auto,894400.5,558040.97,0.61,2020-12-07,2025-12-07
81,26363745.7143,141318464.2857,Active,Current,Auto,768999.2,284470.3,-0.69,2020-12-11,2024-12-10
82,98441514.2857,4475607.1429,Active,Current,Auto,1368600.25,42925.68,0.32,2020-12-14,2023-11-15
83,54345872.8571,29332750.0,Active,Current,Auto,760241.0,63511.11,1.09,2020-12-16,2023-12-15
84,37826317.1429,137204178.5714,Active,Current,Auto,836499.1,524025.56,-0.8,2020-12-21,2025-12-21
85,86086745.7143,56027192.8571,Active,Current,Auto,885500.54,565736.94,0.64,2021-01-07,2026-01-06
86,134237742.8571,884335.7143,Active,Current,Auto,884001.08,96969.83,1.23,2021-01-12,2024-01-12
87,11697315.7143,40863192.8571,Active,Current,Auto,1023200.09,678587.64,0.2,2021-02-08,2026-02-05
88,134237742.8571,734621.4286,Active,Current,Auto,511999.36,68079.74,-0.51,2021-02-18,2024-02-17
89,134237742.8571,29306050.0,Active,Current,Auto,512000.59,68080.97,0.71,2021-02-18,2024-02-17
90,78335942.8571,87441907.1429,Active,Current,Auto,950399.54,565259.71,-0.34,2021-03-04,2026-03-04
91,41615460.0,101727621.4286,Active,Current,Auto,628002.4,374219.13,2.5,2021-03-04,2026-03-04
92,22016888.5714,60870478.5714,Active,Current,Auto,538399.0,367182.54,-0.91,2021-03-10,2026-03-09
93,103704130.0,43884764.2857,Active,Current,Auto,450100.33,246814.18,0.43,2021-03-17,2026-03-17
94,51268985.7143,80184764.2857,Active,Current,Auto,1006401.4,693267.15,1.58,2021-03-19,2026-03-19
95,44814272.8571,140470478.5714,Active,Current,Auto,479919.55,286540.53,-0.26,2021-03-23,2026-03-23
96,43488317.1429,38184764.2857,Active,Amortization Past Due,Auto,690398.77,508512.49,-1.12,2021-03-26,2026-03-26
97,105365460.0,31913335.7143,Active,Current,Auto,1039998.9,694500.93,-1.0,2021-03-31,2026-03-31
98,15496271.4286,86123764.2857,Active,Current,Auto,916999.15,666038.35,-0.75,2021-05-10,2026-05-10
99,50256888.5714,73980907.1429,Active,Current,Auto,919999.45,656785.25,-0.44,2021-05-19,2026-05-19
100,26322745.7143,127709478.5714,Active,Current,Auto,720800.09,519890.58,0.18,2021-05-26,2026-05-26
101,116548460.0,55138050.0,Active,Amortization Past Due,Auto,507000.1,384520.04,0.21,2021-05-28,2026-05-28
102,96857771.4286,100606907.1429,Active,Current,Auto,1004000.69,594835.82,0.78,2021-06-23,2026-06-22
103,5066458.5714,78621192.8571,Active,Current,Housing,1139120.47,1032278.48,0.54,2021-06-25,2036-06-25
104,38133031.4286,58635478.5714,Active,Amortization Past Due,Auto,858398.39,639283.22,-1.51,2021-06-29,2026-06-29
105,127485760.0,20064050.0,Active,Principal Past Due,Auto,1327201.13,1279401.97,1.23,2021-06-30,2026-06-30
106,63191474.2857,67187207.1429,Active,Current,Auto,1231299.3,939609.51,-0.6,2021-07-14,2026-07-14
