,CUSTOMER_ID,CUSTOMER_GROUP,CUSTOMER_SEGMENT
0,137188001.4286,RETAIL,Tier 6
1,73639287.1429,RETAIL,Tier 6
2,61902287.1429,RETAIL,Tier 6
3,63330858.5714,RETAIL,Tier 6
4,37616572.8571,RETAIL,Tier 6
5,51902287.1429,RETAIL,Tier 6
6,34902287.1429,RETAIL,Tier 6
7,105045144.2857,RETAIL,Tier 6
8,23459572.8571,RETAIL,Tier 6
9,40602430.0,RETAIL,Tier 6
10,83602430.0,RETAIL,Tier 6
11,24031001.4286,RETAIL,Tier 6
12,35602430.0,RETAIL,Tier 6
13,6045287.1429,RETAIL,Tier 6
14,77482287.1429,RETAIL,Tier 6
15,121902430.0,RETAIL,Tier 6
16,57759572.8571,RETAIL,Tier 6
17,137902430.0,RETAIL,Tier 6
18,121910858.5714,RETAIL,Tier 6
19,121045287.1429,RETAIL,Tier 6
20,69616715.7143,RETAIL,Tier 6
21,46902430.0,RETAIL,Tier 6
22,625144.2857,RETAIL,Tier 6
23,46482430.0,RETAIL,Tier 6
24,107174001.4286,RETAIL,Tier 6
25,137174001.4286,RETAIL,Tier 6
26,106625287.1429,RETAIL,Tier 6
27,52339572.8571,RETAIL,Tier 6
28,117316858.5714,RETAIL,Tier 6
29,121196715.7143,RETAIL,Tier 6
30,129039715.7143,RETAIL,Tier 6
31,81295572.8571,RETAIL,Tier 6
32,112107158.5714,RETAIL,Tier 6
33,56236428.5714,RETAIL,Tier 6
34,5080142.8571,RETAIL,Tier 1
35,114737857.1429,RETAIL,Tier 6
36,8895000.0,RETAIL,Tier 1
37,20366428.5714,RETAIL,Tier 1
38,99680714.2857,RETAIL,Tier 6
39,17109285.7143,RETAIL,Tier 6
40,86296428.5714,RETAIL,Tier 6
41,739285.7143,RETAIL,Tier 5
42,53325000.0,RETAIL,Tier 6
43,41274857.1429,RETAIL,Tier 6
44,6625000.0,RETAIL,Tier 1
45,35353571.4286,RETAIL,Tier 5
46,2953571.4286,RETAIL,Tier 6
47,101626428.5714,RETAIL,Tier 6
48,86769285.7143,RETAIL,Tier 6
49,53683571.4286,RETAIL,Tier 5
50,115412142.8571,RETAIL,Tier 6
51,123170714.2857,RETAIL,Tier 5
52,45313571.4286,RETAIL,Tier 6
53,67899285.7143,RETAIL,Tier 6
54,30357857.1429,RETAIL,Tier 5
55,121056428.5714,RETAIL,Tier 1
56,82485000.0,RETAIL,Tier 6
57,109513571.4286,RETAIL,Tier 6
58,103427857.1429,RETAIL,Tier 6
59,40715142.8571,RETAIL,Tier 1
60,28872285.7143,RETAIL,Tier 1
61,106158000.0,RETAIL,Tier 1
62,108743714.2857,RETAIL,Tier 1
63,128701571.4286,RETAIL,Tier 6
64,140645142.8571,RETAIL,Tier 5
65,659428.5714,RETAIL,Tier 1
66,63673714.2857,RETAIL,Tier 1
67,78273714.2857,RETAIL,Tier 6
68,16289428.5714,RETAIL,Tier 6
69,132875142.8571,RETAIL,Tier 5
70,40303714.2857,RETAIL,Tier 6
71,113075142.8571,RETAIL,Tier 1
72,16518000.0,RETAIL,Tier 1
73,76846571.4286,RETAIL,Tier 6
74,64433714.2857,RETAIL,Tier 6
75,6290857.1429,RETAIL,Tier 5
76,107876571.4286,RETAIL,Tier 6
77,87640142.8571,RETAIL,Tier 6
78,85919428.5714,RETAIL,Tier 1
79,80819428.5714,RETAIL,Tier 1
80,132405142.8571,RETAIL,Tier 5
81,80276571.4286,RETAIL,Tier 6
82,114848000.0,RETAIL,Tier 6
83,133292285.7143,RETAIL,Tier 5
84,66606571.4286,RETAIL,Tier 5
85,44335142.8571,RETAIL,Tier 6
86,12478000.0,RETAIL,Tier 6
87,120135142.8571,RETAIL,Tier 6
88,21992285.7143,RETAIL,Tier 6
89,141322285.7143,RETAIL,Tier 1
90,132050857.1429,RETAIL,Tier 6
91,125290142.8571,RETAIL,Tier 5
92,52065142.8571,RETAIL,Tier 6
93,130779428.5714,RETAIL,Tier 6
94,55957428.5714,RETAIL,Tier 1
95,92779428.5714,RETAIL,Tier 6
96,12222285.7143,RETAIL,Tier 6
97,8093714.2857,RETAIL,Tier 6
98,98693714.2857,RETAIL,Tier 6
99,89979428.5714,RETAIL,Tier 6
100,125850857.1429,RETAIL,Tier 6
101,80708000.0,RETAIL,Tier 1
102,63309428.5714,RETAIL,Tier 6
103,93738000.0,RETAIL,Tier 1
104,30038000.0,RETAIL,Tier 6
105,84038000.0,RETAIL,Tier 6
106,101480857.1429,RETAIL,Tier 6
107,75766571.4286,RETAIL,Tier 6
108,104338000.0,RETAIL,Tier 6
109,16652285.7143,RETAIL,Tier 6
110,115652285.7143,RETAIL,Tier 5
111,82952285.7143,RETAIL,Tier 6
112,15868000.0,RETAIL,Tier 1
113,94453714.2857,RETAIL,Tier 6
114,140453714.2857,RETAIL,Tier 6
115,47468000.0,RETAIL,Tier 5
116,753714.2857,RETAIL,Tier 6
117,138339428.5714,RETAIL,Tier 6
118,70353714.2857,RETAIL,Tier 6
119,65210857.1429,RETAIL,Tier 1
120,32841714.2857,RETAIL,Tier 6
121,19082285.7143,RETAIL,Tier 6
122,118510857.1429,RETAIL,Tier 5
123,45525142.8571,RETAIL,Tier 6
124,73110857.1429,RETAIL,Tier 1
125,92014428.5714,RETAIL,Tier 1
126,73123142.8571,RETAIL,Tier 6
127,10125142.8571,RETAIL,Tier 6
128,70410857.1429,RETAIL,Tier 1
129,108853714.2857,RETAIL,Tier 6
130,35139428.5714,RETAIL,Tier 5
131,86726571.4286,RETAIL,Tier 6
132,87169428.5714,RETAIL,Tier 6
133,106312285.7143,RETAIL,Tier 1
134,51326571.4286,RETAIL,Tier 1
135,121626571.4286,RETAIL,Tier 6
136,127626571.4286,RETAIL,Tier 6
137,24498000.0,RETAIL,Tier 6
138,43212285.7143,RETAIL,Tier 5
139,42212285.7143,RETAIL,Tier 6
140,133783714.2857,RETAIL,Tier 6
141,73926571.4286,RETAIL,Tier 1
142,118655142.8571,RETAIL,Tier 6
143,112940857.1429,RETAIL,Tier 5
